phi1,phi2,phi3,Sbar1,Sbar2,Sbar3
0.0,0.0,1.0,0.8445891940164165,0.8735901531664926,0.8884619537790764
0.0,0.01,0.99,0.843626486125572,0.8727934505360841,0.8877529310279798
0.0,0.02,0.98,0.8426689681334607,0.8720008624957467,0.8870474897620865
0.0,0.03,0.97,0.8417165780898486,0.8712123404304626,0.8863455878701532
0.0,0.04,0.96,0.8407692544175668,0.8704278359794417,0.885647183443685
0.0,0.05,0.95,0.8398269367649188,0.8696473017429971,0.8849522354066405
0.0,0.06,0.94,0.8388895662296335,0.8688706914696284,0.8842607036826801
0.0,0.07,0.93,0.8379570842449812,0.868097959134568,0.8835725483752609
0.0,0.08,0.92,0.8370294345314182,0.8673290605582823,0.8828877312095008
0.0,0.09,0.91,0.8361065606202668,0.8665639513556923,0.8822062137064247
0.0,0.1,0.9,0.8351884079826132,0.8658025887018831,0.8815279587560713
0.0,0.11,0.89,0.834274922209081,0.8650449298243077,0.8808529292749733
0.0,0.12,0.88,0.8333660502077316,0.8642909329970925,0.8801810890923392
0.0,0.13,0.87,0.8324617403013231,0.8635405576232489,0.8795124030239675
0.0,0.14,0.86,0.8315619405725314,0.8627937628627007,0.8788468356501159
0.0,0.15,0.85,0.8306666004297792,0.8620505089323502,0.8781843524743629
0.0,0.16,0.84,0.8297756714262858,0.8613107577876888,0.8775249205318828
0.0,0.17,0.83,0.8288891048785182,0.8605744711469098,0.8768685066287634
0.0,0.18,0.82,0.8280068519327708,0.859841610546273,0.8762150773913792
0.0,0.19,0.81,0.8271288659016636,0.8591121392816907,0.8755646009978465
0.0,0.2,0.8,0.8262551002822314,0.8583860207637068,0.8749170457118575
0.0,0.21,0.79,0.8253855104433879,0.8576632199206652,0.8742723811343943
0.0,0.22,0.78,0.8245200507008286,0.8569437007684838,0.873630576036695
0.0,0.23,0.77,0.823658677332031,0.8562274289173444,0.8729916005962286
0.0,0.24,0.76,0.8228013463625748,0.8555143697322689,0.8723554247563632
0.0,0.25,0.75,0.8219480173882554,0.8548044915130419,0.8717220210638522
0.0,0.26,0.74,0.821098646116565,0.8540977592908855,0.8710913591343821
0.0,0.27,0.73,0.820253192092325,0.8533941412555409,0.8704634113873383
0.0,0.28,0.72,0.8194116147678382,0.8526936054871933,0.869838150130291
0.0,0.29,0.71,0.8185738743650348,0.8519961206744644,0.8692155481999748
0.0,0.3,0.7,0.8177399300269166,0.8513016545757193,0.8685955775889457
0.0,0.31,0.69,0.8169097462894579,0.8506101794094546,0.8679782142581395
0.0,0.32,0.68,0.8160832822454531,0.8499216628306637,0.867363430081263
0.0,0.33,0.67,0.8152605012015208,0.8492360759739875,0.8667512000257194
0.0,0.34,0.66,0.8144413663304053,0.8485533898335964,0.8661414989209979
0.0,0.35,0.65,0.8136258408443852,0.8478735754078106,0.8655343015878666
0.0,0.36,0.64,0.8128138893219695,0.8471966048055514,0.8649295838268567
0.0,0.37,0.63,0.8120054763518442,0.8465224501166806,0.8643273214095908
0.0,0.38,0.62,0.8112005668659765,0.8458510836900319,0.8637274903272615
0.0,0.39,0.61,0.8103991271384172,0.8451824789671843,0.8631300675358629
0.0,0.4,0.6,0.8096011236443768,0.8445166095316162,0.8625350301069971
0.0,0.41,0.59,0.8088065223525699,0.8438534485183569,0.8619423547003763
0.0,0.42,0.58,0.8080152908952646,0.8431929704253344,0.8613520191827528
0.0,0.43,0.57,0.8072273972066765,0.8425351499779441,0.8607640016135814
0.0,0.44,0.56,0.8064428091143439,0.8418799617881638,0.8601782799404221
0.0,0.45,0.55,0.8056614952705117,0.8412273811325972,0.8595948326946038
