phi1,Sbar1,Sbar2
0.0,0.9998828568108115,0.9998897140512165
0.01,0.9998827425296157,0.9998896454820271
0.02,0.9998826277424431,0.9998895766092466
0.03,0.999882515669428,0.9998895093649686
0.04,0.9998823986990849,0.9998894391822702
0.05,0.99988228178735,0.9998893690347337
0.06,0.9998821691493277,0.9998893014514398
0.07,0.9998820507190219,0.9998892303927478
0.08,0.9998819380997745,0.9998891628207127
0.09,0.9998818180789992,0.9998890908077254
0.1,0.9998817078047194,0.9998890246426747
0.11,0.9998815998812662,0.9998889598881275
0.12,0.999881466595284,0.9998888799159475
0.13,0.9998813476746722,0.9998888085630496
0.14,0.9998812546638224,0.9998887527561223
0.15,0.9998811249871952,0.9998886749495606
0.16,0.9998810242259468,0.9998886144923538
0.17,0.9998809070949023,0.9998885442131918
0.18,0.9998807916331531,0.9998884749356116
0.19,0.9998806841168107,0.9998884104253092
0.2,0.9998805601089001,0.9998883360199861
0.21,0.9998804584911894,0.9998882750488841
0.22,0.9993283663859607,0.9995569806053902
0.23,0.9946875892087585,0.9967692849349951
0.24,0.9901663499764652,0.9940483876182195
0.25,0.9857582013461463,0.9913907597816451
0.26,0.9814572429680825,0.9887931701664422
0.27,0.9772579969413329,0.9862526136454526
0.28,0.9731555007895919,0.9837663707211269
0.29,0.9691450416116936,0.9813318494341158
0.3,0.9652222503496753,0.9789466446822367
0.31,0.9613830931450343,0.9766085352785157
0.32,0.9576238272131046,0.9743154591979788
0.33,0.9539409466234158,0.972065482310732
0.34,0.9503311639850234,0.9698567887210615
0.35000000000000003,0.9467914144453429,0.9676876846275114
0.36,0.9433188245082513,0.9655565805436006
0.37,0.9399106886792276,0.963461978113456
0.38,0.9365644697545397,0.9614024713231529
0.39,0.9332777725197074,0.9593767312754883
0.4,0.9300483444693167,0.9573835074835321
0.41000000000000003,0.9268740613741856,0.9554216197668277
0.42,0.9237529111652226,0.9534899490048006
0.43,0.9206829949612915,0.9515874384176772
0.44,0.9176625134276756,0.9497130857225408
0.45,0.9146897619974019,0.9478659407140002
0.46,0.9117631224686618,0.9460451005487358
0.47000000000000003,0.9088810601504974,0.9442497084330501
0.48,0.9060421153945081,0.9424789487792699
0.49,0.903244898926986,0.9407320446848499
0.5,0.90048809075067,0.9390082576120967
0.51,0.8977704307392812,0.9373068818487527
0.52,0.8950907198148553,0.9356272455537735
0.53,0.8924478081754263,0.9339687036687677
0.54,0.8898406052238313,0.9323306444118248
0.55,0.8872680635382479,0.9307124794706227
0.56,0.8847291842104399,0.9291136475826381
0.5700000000000001,0.8822230086359565,0.9275336095865342
0.58,0.8797486214360433,0.9259718504628572
0.59,0.8773051449118195,0.9244278760287883
0.6,0.8748917356454019,0.9229012109637381
0.61,0.8725075867995783,0.9213914004273921
0.62,0.8701519226429324,0.9198980067520984
0.63,0.8678239986752269,0.9184206096652155
0.64,0.8655230991760788,0.9169588048708859
0.65,0.8632485360078451,0.9155122034169693
0.66,0.8609996473164738,0.9140804309894296
0.67,0.8587757961537903,0.9126631271488888
0.68,0.8565763682877426,0.9112599440410319
0.6900000000000001,0.8544007730214185,0.9098705470187114
0.7000000000000001,0.8522484405566058,0.9084946130551116
0.71,0.8501188215876528,0.9071318305727151
0.72,0.8480113858348699,0.9057818985893458
0.73,0.8459256217796719,0.9044445266279095
0.74,0.8438610351164114,0.9031194337995591
0.75,0.8418171495343437,0.9018063493773212
0.76,0.8397935034169384,0.9005050107446293
0.77,0.8377896510326239,0.8992151642227925
0.78,0.8358051618644069,0.8979365647020565
0.79,0.8338396175717927,0.8966689737414313
0.8,0.8318926150544614,0.8954121615970583
0.81,0.8299637634837573,0.894165905361461
0.8200000000000001,0.828052684358335,0.8929299890478359
0.8300000000000001,0.8261590108815808,0.8917042032345106
0.84,0.8242823876254348,0.8904883448920489
0.85,0.8224224699068666,0.8892822170220155
0.86,0.8205789232571823,0.8880856283531394
0.87,0.8187514241592717,0.8868983938590677
0.88,0.8169396577143978,0.8857203332806778
0.89,0.8151433184066846,0.8845512716566197
0.9,0.8133621091889425,0.8833910387620562
0.91,0.8115957431166878,0.8822394702057675
0.92,0.8098439392452436,0.8810964047873167
0.93,0.8081064261306746,0.8799616868078444
0.9400000000000001,0.8063829393434493,0.8788351644771212
0.9500000000000001,0.8046732216883223,0.8777166900829612
0.96,0.8029770231567338,0.8766061199857973
0.97,0.8012941006078405,0.8755033144348365
0.98,0.799624217083839,0.8744081371428722
0.99,0.7979671424354805,0.8733204557188751
1.0,0.7963226520269556,0.872240140840086
